,rank,Track Name,Artist,views,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,season,season1,year,year1,week,Precipitation,GDP,Suicide,Unemployment,population,temperature_ave,hi_temp,low_temp,time,date
10,11位,ninelie <cry-v>,SawanoHiroyuki[nZk]:Aimer,1.6,0.482,0.82,-5.471,0.0453,0.053,1.27E-06,0.145,0.383,172.03800000000000,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
11,12位,お別れの歌,never young beach,1.56,0.473,0.81,-4.6390000000000000,0.0324,0.185,0.0163,0.134,0.809,98.012,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
12,13位,灼熱スイッチ,雀が原中学卓球部,1.52,0.638,0.922,-3.987,0.0862,0.0266,0.0,0.0431,0.644,101.583,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
13,14位,In Your Mind,Groove Collective,1.48,0.813,0.69,-9.972,0.0939,0.0807,0.4,0.109,0.583,89.00400000000000,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
14,15位,青春の瞬き,Sheena Ringo,1.44,0.491,0.547,-5.535,0.0513,0.0279,0.00536,0.326,0.32300000000000000,145.971,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
15,16位,カラノココロ,Anly,1.4,0.605,0.912,-2.932,0.0651,0.00861,0.000113,0.282,0.633,109.963,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
16,17位,「恋」TVサイズ「逃げるは恥だが役に立つ」主題歌(リアル・インスト・バック演奏編) - オリジナルアーティスト:星野源,Crimson Craftsman,1.36,0.539,0.706,-5.271,0.0336,0.00104,0.866,0.293,0.928,157.97900000000000,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
17,18位,Doki Doki ☆ Morning - Live at Wembley,BABYMETAL,1.32,0.38,0.996,-2.276,0.177,2.97E-05,0.912,0.908,0.16700000000000000,166.12600000000000,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
18,19位,Meta Taro - Live at Wembley,BABYMETAL,1.28,0.302,0.959,-2.451,0.12,8.78E-05,0.8690000000000000,0.674,0.335,129.108,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
19,20位,サンキュー!!,Home Made Kazoku,1.24,0.7610000000000000,0.932,-4.636,0.0514,0.436,0.0,0.132,0.657,111.989,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
20,21位,ルビーの指環,Akira Terao,1.2,0.562,0.386,-11.727,0.0326,0.695,4.16E-06,0.278,0.61,95.818,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
21,22位,ナツコイ,Sonoko Inoue,1.16,0.5530000000000000,0.882,-3.27,0.0459,0.39,0.0,0.16700000000000000,0.737,102.885,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
22,23位,Living Single,Big Sean,1.12,0.7140000000000000,0.62,-5.045,0.29600000000000000,0.223,0.0,0.109,0.73,80.109,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
23,24位,Yuri on ICE,Taro Umebayashi,1.08,0.17600000000000000,0.514,-12.05,0.0308,0.816,0.637,0.117,0.154,80.018,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
24,25位,Shed a Light,Robin Schulz,1.04,0.483,0.787,-5.244,0.102,0.112,0.0,0.257,0.58,122.058,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
25,26位,リトルクライベイビー,Hitorie,1.0,0.4920000000000000,0.949,-3.699,0.0599,0.0158,0.0,0.229,0.555,104.024,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
26,27位,white forces,fripSide,0.96,0.6610000000000000,0.991,-2.68,0.127,0.174,4.87E-05,0.121,0.635,143.929,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
27,28位,黄昏サラウンド,RIP SLYME,0.92,0.7390000000000000,0.767,-5.651,0.0293,0.5330000000000000,8.02E-05,0.168,0.8270000000000000,105.013,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
28,29位,あずさ2号 - 2015 Digital Remastered,Karyudo,0.88,0.26,0.557,-5.056,0.0379,0.637,0.0,0.322,0.262,82.54900000000000,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
29,30位,"City Of Stars - From ""La La Land"" Soundtrack",Ryan Gosling,0.84,0.483,0.121,-15.133,0.0349,0.91,0.0,0.0885,0.419,106.032,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
30,31位,Superfly,Curtis Mayfield,0.8,0.784,0.708,-9.141,0.11,0.457,7.5E-05,0.0913,0.7490000000000000,120.109,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
31,32位,Pretty And Young,Austin Mahone,0.76,0.7560000000000000,0.521,-7.343,0.0279,0.0318,0.0,0.0565,0.385,121.947,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
32,33位,楽園ベイベー,RIP SLYME,0.72,0.773,0.931,-3.791,0.0586,0.114,5.45E-05,0.0518,0.8640000000000000,113.048,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
33,34位,Better With You,Austin Mahone,0.68,0.778,0.5590000000000000,-6.05,0.0477,0.557,0.0,0.101,0.509,99.973,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
34,35位,Bad Things - With Camila Cabello,Machine Gun Kelly,0.64,0.674,0.6940000000000000,-4.739,0.129,0.223,0.0,0.183,0.242,137.839,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
35,36位,Wait Around,Austin Mahone,0.6,0.456,0.34,-11.373,0.046,0.514,0.0,0.341,0.765,82.24700000000000,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
36,37位,BANQUET,HARUHI,0.56,0.471,0.682,-5.981,0.0302,0.536,0.000292,0.0803,0.316,99.948,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
37,38位,海の声,Taro Urashima,0.52,0.649,0.365,-5.671,0.0252,0.7120000000000000,0.0,0.13,0.301,76.02600000000000,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
38,39位,THat Part,ScHoolboy Q,0.48,0.927,0.535,-7.59,0.0911,0.0855,0.0,0.136,0.336,112.96,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
39,40位,熱帯夜,RIP SLYME,0.44,0.642,0.902,-2.825,0.052000000000000000,0.0644,0.000795,0.0357,0.7610000000000000,169.005,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
40,41位,Shake It For Me (feat. 2 Chainz),Austin Mahone,0.4,0.83,0.496,-8.418,0.057,0.397,0.0,0.13,0.391,108.098,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
41,42位,MARIONETTE,BOØWY,0.36,0.56,0.93,-5.046,0.0388,0.0461,0.000437,0.331,0.8370000000000000,158.955,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
42,43位,なんでもないや - movie ver.,Mone Kamishiraishi,0.32,0.35700000000000000,0.161,-10.667,0.0388,0.971,1.4E-05,0.358,0.325,83.449,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
43,44位,夜と朝のあいだに,Peter,0.28,0.574,0.314,-11.151,0.0316,0.7660000000000000,0.0,0.132,0.325,110.423,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
44,45位,Beautiful Now,Zedd,0.24,0.628,0.833,-4.126,0.0282,0.0079,1.48E-05,0.07400000000000000,0.56,128.003,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
45,46位,空に太陽がある限り,Akira Nishikino,0.2,0.546,0.402,-9.138,0.03,0.711,5.32E-05,0.128,0.495,130.05,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
46,47位,Except For Us,Austin Mahone,0.16,0.7710000000000000,0.5530000000000000,-7.702000000000000,0.0515,0.0275,2.04E-06,0.136,0.7610000000000000,105.963,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
47,48位,Double Up,Austin Mahone,0.12,0.44,0.602,-5.942,0.107,0.337,0.0,0.0714,0.627,70.054,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
48,49位,Caribbean Rave,W&W,0.08,0.603,0.903,-1.539,0.0709,0.0377,0.0,0.629,0.67,127.944,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
49,50位,Mellow My Man,The Roots,0.04,0.78,0.422,-9.745,0.32,0.00678,0.0,0.499,0.5870000000000000,91.482,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
50,1位,Shape of You,Ed Sheeran,2.0,0.825,0.652,-3.1830000000000000,0.0802,0.581,0.0,0.0931,0.931,95.977,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
51,2位,原宿いやほい,Kyary Pamyu Pamyu,1.96,0.662,0.975,-0.544,0.0318,0.063,0.0111,0.14800000000000000,0.8060000000000000,127.995,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
52,3位,Castle on the Hill,Ed Sheeran,1.92,0.461,0.8340000000000000,-4.868,0.0989,0.0232,1.14E-05,0.14,0.471,135.007,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
53,4位,Rooting For You,London Grammar,1.88,0.333,0.262,-7.551,0.0361,0.915,1.31E-06,0.0889,0.156,106.216,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
54,5位,僕らだけの等身大,Goose house,1.84,0.644,0.931,-2.997,0.0504,0.0766,0.0,0.125,0.5380000000000000,137.934,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
55,6位,Delicious,Daniel Powter,1.8,0.746,0.8390000000000000,-5.065,0.0516,0.0219,0.0,0.045,0.928,104.004,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
56,7位,Shudara,Nam Jazz Experiment,1.76,0.393,0.684,-9.859,0.128,0.3720000000000000,0.00394,0.244,0.81,90.165,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
57,8位,Reflection,Brian Eno,1.72,0.0645,0.0394,-29.481,0.0514,0.977,0.889,0.0749,0.0306,67.03400000000000,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
58,9位,Say Something Loving,The xx,1.68,0.627,0.721,-7.782,0.0304,0.29600000000000000,6.41E-05,0.231,0.383,130.08,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
59,10位,青春の瞬き,Sheena Ringo,1.64,0.491,0.547,-5.535,0.0513,0.0279,0.00536,0.326,0.32300000000000000,145.971,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
60,11位,Funeral Pyre,Julien Baker,1.6,0.272,0.183,-9.467,0.0314,0.932,3.18E-05,0.11,0.0385,75.346,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
61,12位,真夏のスノーマン,LOZAREENA,1.56,0.569,0.7,-4.7410000000000000,0.0255,0.224,4.52E-06,0.099,0.457,155.997,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
62,13位,Throw Myself A Party,Cashmere Cat,1.52,0.633,0.6560000000000000,-5.089,0.0533,0.191,0.0,0.139,0.525,136.076,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
63,14位,ninelie <cry-v>,SawanoHiroyuki[nZk]:Aimer,1.48,0.482,0.82,-5.471,0.0453,0.053,1.27E-06,0.145,0.383,172.03800000000000,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
64,15位,SILVER(TV size ver.),RIZE,1.44,0.294,0.988,-2.669,0.117,0.00243,1.08E-05,0.147,0.459,167.53400000000000,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
65,16位,ルビーの指環,Akira Terao,1.4,0.562,0.386,-11.727,0.0326,0.695,4.16E-06,0.278,0.61,95.818,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
66,17位,Claudia,"She, in the haze",1.36,0.471,0.971,-6.815,0.0509,4.65E-05,0.105,0.172,0.418,127.989,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
67,18位,Yuri on ICE,Taro Umebayashi,1.32,0.17600000000000000,0.514,-12.05,0.0308,0.816,0.637,0.117,0.154,80.018,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
68,19位,Merry Christmas Mr. Lawrence,David West,1.28,0.445,0.294,-17.914,0.0358,0.953,0.904,0.0852,0.155,95.122,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
69,20位,一休さん,WEDNESDAY CAMPANELLA,1.24,0.807,0.835,-4.413,0.0654,0.163,0.0,0.241,0.754,117.019,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
70,21位,Live Forever,Third Party,1.2,0.5590000000000000,0.915,-4.523,0.0514,0.0463,2.33E-05,0.515,0.278,128.007,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
71,22位,まもりたい~この両手の中~,Keisuke Murakami,1.16,0.556,0.774,-3.4810000000000000,0.0322,0.0238,0.0,0.129,0.625,123.031,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
72,23位,Move Your Body - Single Mix,Sia,1.12,0.664,0.883,-3.406,0.0353,0.00151,0.0926,0.07200000000000000,0.381,127.962,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
73,24位,Final Song - Diplo & Jauz Remix,MØ,1.08,0.687,0.843,-2.974,0.0312,0.208,0.000917,0.0751,0.344,126.012,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
74,25位,The Imperial Suite,Michael Giacchino,1.04,0.29100000000000000,0.377,-11.089,0.03,0.8170000000000000,0.944,0.187,0.43,87.48900000000000,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
75,26位,冬が来る前に,Kami Fusen,1.0,0.417,0.695,-5.855,0.0343,0.424,0.0,0.183,0.396,89.06200000000000,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
76,27位,東京ららばい,Rie Nakahara,0.96,0.682,0.685,-7.362,0.0376,0.15,0.00014,0.196,0.802,120.949,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
77,28位,Want U Back,Cher Lloyd,0.92,0.6940000000000000,0.8910000000000000,-2.94,0.0949,0.0562,0.0,0.561,0.563,97.939,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
78,29位,"One more time, One more chance",Little Glee Monster,0.88,0.662,0.584,-4.556,0.0339,0.431,0.0,0.0877,0.225,129.945,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
79,30位,同棲時代,Reiko Oshida,0.84,0.535,0.385,-8.176,0.0265,0.4,0.000825,0.247,0.4,108.695,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
80,31位,All Lost,Jack Grace,0.8,0.575,0.97,-5.7430000000000000,0.219,0.0416,0.916,0.0672,0.404,173.325,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
81,32位,ナツコイ,Sonoko Inoue,0.76,0.5530000000000000,0.882,-3.27,0.0459,0.39,0.0,0.16700000000000000,0.737,102.885,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
82,33位,Living Single,Big Sean,0.72,0.7140000000000000,0.62,-5.045,0.29600000000000000,0.223,0.0,0.109,0.73,80.109,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
83,34位,Starman - 2012 Remaster,David Bowie,0.68,0.486,0.449,-10.298,0.0267,0.166,2.23E-06,0.54,0.5490000000000000,100.456,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
84,35位,あずさ2号 - 2015 Digital Remastered,Karyudo,0.64,0.26,0.557,-5.056,0.0379,0.637,0.0,0.322,0.262,82.54900000000000,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
85,36位,immortal,Elley Duhé,0.6,0.6510000000000000,0.667,-5.24,0.054000000000000000,0.000601,0.00184,0.0773,0.374,159.937,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
86,37位,Weak,AJR,0.56,0.672,0.642,-4.552,0.0461,0.127,0.0,0.13700000000000000,0.6560000000000000,123.984,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
87,38位,Don't Wanna Know - Fareoh Remix,Maroon 5,0.52,0.691,0.942,-1.855,0.0447,0.0596,0.0,0.428,0.517,100.054,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
88,39位,Losing You,Alison Krauss,0.48,0.365,0.279,-10.508,0.028,0.7810000000000000,1.54E-06,0.0926,0.27,100.661,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
89,40位,white forces,fripSide,0.44,0.6610000000000000,0.991,-2.68,0.127,0.174,4.87E-05,0.121,0.635,143.929,17年1月2週目,2017-01-02,2017年,2017,2週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,2,2
